epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,264,1.14556,0.93081,1.2305,0.72049,0.77613,0.80888,0.54057,1.28704,0.85935,1.36547,0.005743,0.005743,0.005743
45,269.94,1.12345,0.89803,1.21857,0.7466,0.66986,0.79501,0.51763,1.29612,0.95052,1.37442,0.005644,0.005644,0.005644
46,275.893,1.16638,0.91274,1.25341,0.71413,0.78353,0.80842,0.52885,1.3063,0.87582,1.34742,0.005545,0.005545,0.005545
47,281.813,1.13799,0.88949,1.22529,0.72973,0.7689,0.80561,0.53917,1.25687,0.89664,1.32643,0.005446,0.005446,0.005446
48,287.74,1.09454,0.88778,1.20201,0.75524,0.72256,0.76377,0.51084,1.30809,0.96676,1.35569,0.005347,0.005347,0.005347
49,293.666,1.16508,0.88523,1.25486,0.72114,0.75794,0.79755,0.55124,1.23536,0.8426,1.30047,0.005248,0.005248,0.005248
50,299.599,1.13089,0.91257,1.22491,0.68557,0.79051,0.79729,0.51982,1.29104,0.88939,1.33761,0.005149,0.005149,0.005149
51,305.534,1.09691,0.88678,1.20974,0.7482,0.80494,0.81848,0.54497,1.27596,0.8926,1.34563,0.00505,0.00505,0.00505
52,311.462,1.0943,0.87975,1.20012,0.75067,0.80637,0.82593,0.54869,1.23809,0.89181,1.31992,0.004951,0.004951,0.004951
53,317.418,1.08049,0.88213,1.20366,0.76044,0.72538,0.79748,0.52224,1.30374,0.90293,1.35897,0.004852,0.004852,0.004852
54,323.354,1.126,0.89258,1.20926,0.72179,0.80955,0.80941,0.54752,1.24045,0.81358,1.3285,0.004753,0.004753,0.004753
55,329.312,1.07673,0.84503,1.18998,0.73127,0.80989,0.83081,0.5523,1.24935,0.83369,1.30755,0.004654,0.004654,0.004654
56,335.237,1.10503,0.84949,1.18681,0.73381,0.80502,0.81321,0.55803,1.18919,0.77851,1.28187,0.004555,0.004555,0.004555
57,341.199,1.05121,0.82525,1.18021,0.72278,0.81121,0.81338,0.54969,1.26487,0.80275,1.31714,0.004456,0.004456,0.004456
58,347.166,1.14033,0.95513,1.25389,0.71627,0.80808,0.81838,0.53461,1.26093,0.81388,1.33505,0.004357,0.004357,0.004357
59,353.105,1.04579,0.88274,1.18568,0.7472,0.78593,0.798,0.53302,1.25778,0.84793,1.32346,0.004258,0.004258,0.004258
